"time period","train operating company name","NR on TOC External","NR on TOC Network Management Other","NR on TOC Non Track Assets","NR on TOC Severe Weather","NR on TOC Track","TOC on Self Fleet","TOC on Self Operations","TOC on Self Stations","TOC on Self TOC Other","TOC on Self Traincrew","TOC on TOC Fleet","TOC on TOC Operations","TOC on TOC Stations","TOC on TOC TOC Other","TOC on TOC Traincrew"
"Apr 2025 to Mar 2026 (Period 12)","Greater Anglia","5391.0","7678.1","12016.0","353.7","5288.8","1394.4","265.5","258.0","1960.5","716.8","737.9","701.7","50.0","692.2","884.7"
"Apr 2023 to Mar 2024 (Period 02)","Hanson and Hall Charters","8.0","0.0","14.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","34.0","10.0","0.0","0.0","0.0"
"Apr 2023 to Mar 2024 (Period 03)","Hanson and Hall Charters","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","96.0","29.0","0.0","0.0","0.0"
"Apr 2023 to Mar 2024 (Period 04)","Hanson and Hall Charters","9.0","37.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","14.0","5.0","0.0","5.0"
"Apr 2023 to Mar 2024 (Period 12)","Hanson and Hall Charters","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0"
"Apr 2024 to Mar 2025 (Period 02)","Hanson and Hall Charters","5.0","3.0","7.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0"
"Apr 2024 to Mar 2025 (Period 03)","Hanson and Hall Charters","123.0","50.0","4.0","0.0","22.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","3.0","0.0"
"Apr 2024 to Mar 2025 (Period 04)","Hanson and Hall Charters","4.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2024 to Mar 2025 (Period 05)","Hanson and Hall Charters","0.0","0.0","0.0","0.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0"
"Apr 2024 to Mar 2025 (Period 06)","Hanson and Hall Charters","0.0","3.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","7.0","0.0","8.0"
"Apr 2025 to Mar 2026 (Period 03)","Hanson and Hall Charters","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","0.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 04)","Hanson and Hall Charters","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 05)","Hanson and Hall Charters","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 06)","Hanson and Hall Charters","17.0","23.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 08)","Hanson and Hall Charters","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.0","0.0","0.0","0.0"
"Apr 2019 to Mar 2020 (Period 01)","Heathrow Express","92.0","460.0","460.0","7.0","10.0","250.0","5.0","7.0","3.0","37.0","300.5","19.5","26.0","65.0","57.0"
"Apr 2019 to Mar 2020 (Period 02)","Heathrow Express","168.0","274.0","339.0","0.0","12.0","153.0","0.0","43.0","3.0","4.0","197.0","5.5","17.5","28.0","29.0"
"Apr 2019 to Mar 2020 (Period 03)","Heathrow Express","524.0","335.0","293.0","0.0","98.0","296.0","3.0","18.0","28.0","46.0","428.0","27.0","4.0","32.0","45.0"
"Apr 2019 to Mar 2020 (Period 04)","Heathrow Express","146.0","349.5","589.0","60.5","123.0","367.5","14.0","13.0","46.0","79.0","453.5","24.5","28.0","76.5","135.0"
"Apr 2019 to Mar 2020 (Period 05)","Heathrow Express","281.0","333.5","432.0","78.0","652.0","383.0","35.0","11.0","18.0","83.0","442.5","42.0","14.0","44.0","134.0"
"Apr 2019 to Mar 2020 (Period 06)","Heathrow Express","173.0","238.0","483.7","7.0","14.0","122.0","11.0","4.0","34.0","95.0","456.0","3.0","24.0","42.0","64.3"
"Apr 2019 to Mar 2020 (Period 07)","Heathrow Express","49.0","439.0","353.0","14.0","19.0","163.5","9.0","0.0","5.0","78.5","134.0","20.0","47.0","41.0","66.0"
"Apr 2019 to Mar 2020 (Period 08)","Heathrow Express","319.0","457.5","168.0","18.0","186.0","136.0","32.0","0.0","6.0","55.0","287.5","54.0","20.0","98.0","111.0"
"Apr 2019 to Mar 2020 (Period 09)","Heathrow Express","22.0","572.3","347.0","22.5","115.0","230.0","5.0","3.0","12.0","51.0","291.5","4.0","21.7","109.5","77.5"
"Apr 2019 to Mar 2020 (Period 10)","Heathrow Express","112.0","428.5","237.0","28.5","131.0","236.5","30.0","0.0","6.0","145.0","408.0","38.0","43.0","30.0","86.5"
"Apr 2019 to Mar 2020 (Period 11)","Heathrow Express","79.0","727.5","550.0","102.0","36.0","212.5","0.0","0.0","6.0","112.5","366.0","54.0","30.0","112.5","185.0"
"Apr 2019 to Mar 2020 (Period 12)","Heathrow Express","623.0","330.0","383.0","415.0","343.0","181.5","6.0","0.0","0.0","14.5","198.0","22.5","49.0","28.5","296.0"
"Apr 2019 to Mar 2020 (Period 13)","Heathrow Express","134.0","279.5","527.0","16.0","64.0","172.0","0.0","3.0","8.0","61.0","203.5","49.0","8.0","19.0","48.0"
"Apr 2020 to Mar 2021 (Period 01)","Heathrow Express","0.0","37.0","123.0","8.5","0.0","18.0","0.0","0.0","6.0","16.0","24.0","0.0","3.0","6.5","0.0"
"Apr 2020 to Mar 2021 (Period 02)","Heathrow Express","32.0","43.0","70.0","0.0","0.0","94.0","0.0","0.0","0.0","0.0","31.0","0.0","0.0","3.0","8.0"
"Apr 2020 to Mar 2021 (Period 03)","Heathrow Express","0.0","27.5","429.0","0.0","0.0","19.0","0.0","0.0","0.0","0.0","21.5","0.0","0.0","7.0","8.0"
"Apr 2020 to Mar 2021 (Period 04)","Heathrow Express","49.0","75.0","37.0","6.0","6.0","18.0","0.0","0.0","0.0","0.0","16.0","0.0","3.0","3.0","45.0"
"Apr 2020 to Mar 2021 (Period 05)","Heathrow Express","107.0","61.5","63.0","6.0","11.0","67.0","1.5","0.0","0.0","17.0","40.0","4.0","5.0","15.0","10.0"
"Apr 2020 to Mar 2021 (Period 06)","Heathrow Express","30.0","41.5","29.0","0.0","0.0","20.0","0.0","0.0","0.0","4.0","86.5","0.0","7.0","8.0","21.0"
"Apr 2020 to Mar 2021 (Period 07)","Heathrow Express","26.0","61.0","113.0","3.5","7.0","23.0","0.0","0.0","4.0","12.0","105.0","0.0","12.0","20.5","24.0"
"Apr 2020 to Mar 2021 (Period 08)","Heathrow Express","52.0","78.0","75.0","7.0","0.0","13.0","0.0","0.0","0.0","25.0","89.0","7.0","33.0","17.0","12.0"
"Apr 2020 to Mar 2021 (Period 09)","Heathrow Express","103.0","53.5","313.0","1.0","4.0","40.0","0.0","18.0","0.0","5.0","82.0","3.0","18.0","3.0","5.5"
"Apr 2020 to Mar 2021 (Period 10)","Heathrow Express","35.0","110.5","140.0","2.0","90.0","225.5","0.0","0.0","0.0","57.0","83.0","15.0","29.0","22.0","51.0"
"Apr 2020 to Mar 2021 (Period 11)","Heathrow Express","19.0","70.0","77.0","6.0","147.0","492.0","0.0","0.0","7.0","81.0","71.0","2.0","27.0","3.0","25.0"
"Apr 2020 to Mar 2021 (Period 12)","Heathrow Express","50.0","89.0","116.0","24.0","150.0","266.0","13.0","0.0","11.0","110.0","53.0","11.0","0.0","3.0","3.0"
"Apr 2020 to Mar 2021 (Period 13)","Heathrow Express","70.2","180.5","174.9","19.5","351.3","630.8","25.0","0.0","0.0","123.8","74.8","17.3","11.0","21.4","5.5"
"Apr 2021 to Mar 2022 (Period 01)","Heathrow Express","296.0","246.0","591.0","1.0","151.0","346.5","7.0","0.0","0.0","69.0","267.0","15.0","0.0","27.5","32.0"
"Apr 2021 to Mar 2022 (Period 02)","Heathrow Express","31.0","201.5","707.0","30.0","186.0","562.0","0.0","6.0","7.0","79.0","103.0","14.0","37.0","7.5","21.0"
"Apr 2021 to Mar 2022 (Period 03)","Heathrow Express","62.0","178.0","402.0","138.0","173.0","282.0","21.0","3.0","0.0","108.0","85.0","15.0","29.0","37.0","63.0"
"Apr 2021 to Mar 2022 (Period 04)","Heathrow Express","338.0","167.5","494.0","106.0","161.0","478.0","0.0","0.0","0.0","71.0","278.0","24.0","6.5","12.0","24.0"
"Apr 2021 to Mar 2022 (Period 05)","Heathrow Express","276.0","301.4","275.0","7.0","119.0","550.5","0.0","8.6","14.0","18.0","216.0","13.5","3.0","14.0","45.0"
"Apr 2021 to Mar 2022 (Period 06)","Heathrow Express","132.0","148.1","344.1","0.0","57.0","499.0","0.0","48.0","26.0","31.5","266.8","13.5","0.0","54.0","73.0"
"Apr 2021 to Mar 2022 (Period 07)","Heathrow Express","358.0","398.0","500.0","0.0","331.0","379.0","0.0","3.0","7.0","87.5","314.0","12.0","30.0","46.5","34.0"
"Apr 2021 to Mar 2022 (Period 08)","Heathrow Express","129.0","357.0","809.0","169.0","126.0","867.0","29.0","10.0","5.0","32.0","365.0","23.0","41.0","120.0","40.0"
"Apr 2021 to Mar 2022 (Period 09)","Heathrow Express","146.0","422.0","466.0","61.0","185.0","359.0","4.0","0.0","23.0","34.0","151.0","11.0","7.0","83.5","47.5"
"Apr 2021 to Mar 2022 (Period 10)","Heathrow Express","81.0","337.0","79.0","0.0","493.0","224.0","0.0","3.0","37.0","23.0","138.0","6.0","3.0","45.0","113.0"
"Apr 2021 to Mar 2022 (Period 11)","Heathrow Express","273.0","342.0","912.0","4.0","143.0","364.0","0.0","4.0","0.0","23.0","296.0","9.0","26.0","23.0","79.0"
"Apr 2021 to Mar 2022 (Period 12)","Heathrow Express","585.0","373.0","286.0","546.0","12.0","248.0","0.0","0.0","8.0","32.0","105.5","35.0","28.0","20.5","70.0"
"Apr 2021 to Mar 2022 (Period 13)","Heathrow Express","262.6","202.7","599.2","14.0","33.0","503.9","0.0","0.0","62.0","33.0","121.9","29.3","23.4","88.3","133.7"
"Apr 2022 to Mar 2023 (Period 01)","Heathrow Express","221.0","568.5","800.0","5.0","549.0","379.0","3.0","4.0","10.0","21.0","54.0","10.5","16.0","29.0","16.0"
"Apr 2022 to Mar 2023 (Period 02)","Heathrow Express","386.0","727.0","275.0","3.0","332.0","294.0","6.0","3.0","23.0","25.0","185.0","34.0","24.0","30.0","38.0"
"Apr 2022 to Mar 2023 (Period 03)","Heathrow Express","64.0","353.0","251.0","53.0","156.0","297.0","0.0","0.0","0.0","64.0","173.0","2.0","23.0","60.0","155.0"
"Apr 2022 to Mar 2023 (Period 04)","Heathrow Express","186.0","860.5","621.0","138.0","924.0","462.0","0.0","0.0","16.0","91.0","185.5","61.0","44.0","119.0","117.0"
"Apr 2022 to Mar 2023 (Period 05)","Heathrow Express","559.0","818.5","440.0","69.0","303.0","156.5","7.0","3.0","57.0","33.0","168.0","20.0","73.0","66.0","65.0"
"Apr 2022 to Mar 2023 (Period 06)","Heathrow Express","960.0","412.0","655.0","375.0","349.0","218.0","0.0","3.0","5.0","53.0","492.0","34.0","95.0","118.0","185.0"
"Apr 2022 to Mar 2023 (Period 07)","Heathrow Express","199.0","448.5","1040.0","110.0","105.0","158.0","0.0","54.0","4.0","26.0","297.5","22.0","157.0","108.0","135.0"
"Apr 2022 to Mar 2023 (Period 08)","Heathrow Express","340.0","556.5","462.0","154.5","62.0","514.0","34.0","0.0","0.0","69.0","229.0","47.0","38.5","213.5","74.0"
"Apr 2022 to Mar 2023 (Period 09)","Heathrow Express","166.0","608.5","804.0","43.0","630.0","216.0","0.0","0.0","21.0","67.0","312.5","59.0","25.0","99.5","155.5"
"Apr 2022 to Mar 2023 (Period 10)","Heathrow Express","5.0","234.0","384.0","22.0","55.0","121.0","0.0","15.0","86.0","89.0","82.0","21.0","14.0","64.0","53.0"
"Apr 2022 to Mar 2023 (Period 11)","Heathrow Express","549.0","273.5","697.0","65.0","826.0","186.0","3.0","3.0","43.0","105.0","427.0","69.0","25.5","135.0","65.0"
"Apr 2022 to Mar 2023 (Period 12)","Heathrow Express","239.0","792.5","632.0","83.0","281.0","128.0","0.0","0.0","0.0","40.0","435.0","37.0","58.5","106.5","89.5"
"Apr 2022 to Mar 2023 (Period 13)","Heathrow Express","328.0","537.6","462.8","118.0","484.0","212.4","12.1","4.0","14.0","45.0","833.3","34.2","42.1","76.0","120.4"
"Apr 2023 to Mar 2024 (Period 01)","Heathrow Express","819.0","615.0","376.0","206.0","152.0","61.5","1.0","1.0","38.0","40.0","239.5","60.0","42.0","80.0","74.0"
"Apr 2023 to Mar 2024 (Period 02)","Heathrow Express","174.0","578.5","842.0","230.0","167.0","117.0","6.0","0.0","3.0","16.0","139.0","20.5","18.0","53.0","80.0"
"Apr 2023 to Mar 2024 (Period 03)","Heathrow Express","188.0","547.0","974.0","227.0","113.0","241.0","32.0","0.0","38.0","45.0","259.0","47.0","70.0","61.0","87.0"
"Apr 2023 to Mar 2024 (Period 04)","Heathrow Express","615.0","576.0","947.0","62.0","193.0","336.0","30.5","0.0","0.0","43.5","171.5","67.5","32.0","93.0","101.0"
"Apr 2023 to Mar 2024 (Period 05)","Heathrow Express","544.0","316.5","1674.0","27.0","282.0","89.0","0.0","0.0","6.0","31.0","499.5","63.0","44.0","112.0","124.0"
"Apr 2023 to Mar 2024 (Period 06)","Heathrow Express","857.5","985.1","2067.0","12.0","84.0","72.0","0.0","0.0","0.0","53.0","269.0","51.0","38.0","108.5","132.9"
"Apr 2023 to Mar 2024 (Period 07)","Heathrow Express","676.0","322.0","1342.0","75.0","49.0","103.0","0.0","49.0","10.0","69.0","373.0","286.0","43.0","73.0","132.0"
"Apr 2023 to Mar 2024 (Period 08)","Heathrow Express","130.0","910.5","1231.0","193.5","749.0","54.0","0.0","0.0","21.0","21.0","375.5","57.0","46.0","175.5","148.0"
"Apr 2023 to Mar 2024 (Period 09)","Heathrow Express","292.1","1815.9","813.2","142.0","2775.0","703.2","24.0","5.0","0.0","104.0","818.1","80.5","61.0","435.0","488.0"
"Apr 2023 to Mar 2024 (Period 10)","Heathrow Express","583.0","783.2","1608.9","611.0","2068.0","272.0","12.0","6.5","86.0","78.0","384.0","189.9","42.4","142.0","158.0"
"Apr 2023 to Mar 2024 (Period 11)","Heathrow Express","98.0","469.2","1493.0","83.0","375.0","400.0","21.4","40.0","8.0","79.0","1050.5","100.0","14.0","374.0","150.9"
"Apr 2023 to Mar 2024 (Period 12)","Heathrow Express","777.0","693.1","747.9","180.0","282.0","91.0","3.0","0.0","51.0","95.0","452.6","28.0","12.0","43.4","106.0"
"Apr 2023 to Mar 2024 (Period 13)","Heathrow Express","685.8","640.1","1698.9","137.1","433.1","376.0","17.9","40.0","0.0","30.5","650.2","84.6","54.7","126.4","177.7"
"Apr 2024 to Mar 2025 (Period 01)","Heathrow Express","272.0","566.5","1054.0","14.0","518.0","128.0","9.0","5.0","30.0","196.5","424.0","43.0","127.0","189.0","215.0"
"Apr 2024 to Mar 2025 (Period 02)","Heathrow Express","424.0","648.5","686.0","174.0","522.0","101.0","0.0","3.0","0.0","105.0","263.5","88.0","10.0","132.0","183.0"
"Apr 2024 to Mar 2025 (Period 03)","Heathrow Express","514.0","765.9","543.0","22.0","623.0","11.0","6.0","0.0","0.0","70.0","275.0","55.1","48.0","91.0","104.0"
"Apr 2024 to Mar 2025 (Period 04)","Heathrow Express","607.2","558.6","1413.2","17.0","755.0","60.9","0.0","0.0","10.0","21.0","150.0","297.6","16.5","75.0","154.0"
"Apr 2024 to Mar 2025 (Period 05)","Heathrow Express","548.0","716.5","914.0","50.0","913.0","49.0","0.0","0.0","16.0","19.0","475.0","79.0","48.0","136.5","82.0"
"Apr 2024 to Mar 2025 (Period 06)","Heathrow Express","1301.0","592.5","698.0","19.0","275.0","34.0","7.0","0.0","8.5","46.0","201.0","68.5","20.5","62.0","116.0"
"Apr 2024 to Mar 2025 (Period 07)","Heathrow Express","574.1","1013.3","549.9","93.3","317.0","304.2","4.0","0.0","5.0","153.0","422.2","94.0","21.5","179.8","234.9"
"Apr 2024 to Mar 2025 (Period 08)","Heathrow Express","220.5","737.8","878.1","93.2","385.0","97.0","0.0","7.0","6.0","131.0","413.0","59.0","73.0","160.3","288.0"
"Apr 2024 to Mar 2025 (Period 09)","Heathrow Express","354.0","921.3","1244.0","268.0","757.0","33.0","0.0","63.5","30.0","3.0","452.0","126.0","88.3","313.0","210.0"
"Apr 2024 to Mar 2025 (Period 10)","Heathrow Express","321.0","578.0","419.0","68.5","22.0","35.0","0.0","0.0","13.0","128.0","267.0","50.0","14.0","85.5","117.0"
"Apr 2024 to Mar 2025 (Period 11)","Heathrow Express","702.0","676.5","1338.0","527.0","303.0","13.0","0.0","0.0","0.0","65.0","257.0","7.5","43.0","107.0","173.0"
"Apr 2024 to Mar 2025 (Period 12)","Heathrow Express","696.0","1664.5","600.0","11.0","1277.0","329.0","0.0","12.0","0.0","84.0","285.2","75.0","135.5","110.0","81.8"
"Apr 2024 to Mar 2025 (Period 13)","Heathrow Express","454.1","1027.6","675.9","8.3","356.1","78.1","7.1","3.0","31.0","41.7","322.0","49.3","85.3","146.5","119.9"
"Apr 2025 to Mar 2026 (Period 01)","Heathrow Express","212.0","1014.5","757.0","14.0","212.0","52.0","0.0","0.0","17.0","41.0","520.0","71.0","59.0","212.5","102.0"
"Apr 2025 to Mar 2026 (Period 02)","Heathrow Express","238.0","848.8","841.1","67.0","163.0","195.0","19.0","17.0","0.0","44.0","240.1","1.5","26.0","108.5","118.0"
"Apr 2025 to Mar 2026 (Period 03)","Heathrow Express","891.0","434.3","1042.0","76.0","127.0","186.0","86.0","1.0","50.0","72.0","297.2","33.0","22.0","132.0","128.5"
"Apr 2025 to Mar 2026 (Period 04)","Heathrow Express","438.0","608.5","853.0","20.0","94.0","43.0","0.0","55.0","0.0","61.0","245.5","36.0","76.0","59.0","96.0"
"Apr 2025 to Mar 2026 (Period 05)","Heathrow Express","133.5","469.5","944.0","33.0","98.0","33.0","0.0","4.0","20.0","3.0","138.0","32.5","60.0","63.5","71.0"
"Apr 2025 to Mar 2026 (Period 06)","Heathrow Express","514.5","523.5","1393.0","80.0","370.0","71.0","0.0","0.0","11.0","55.0","386.5","77.5","87.0","67.0","159.0"
"Apr 2025 to Mar 2026 (Period 07)","Heathrow Express","372.0","1192.5","1282.0","68.1","163.0","438.0","3.0","0.0","21.0","72.0","369.5","175.0","67.0","130.0","180.0"
"Apr 2025 to Mar 2026 (Period 08)","Heathrow Express","1730.7","634.0","692.2","99.7","198.0","184.0","0.0","3.5","5.0","42.0","343.7","62.9","59.0","251.3","139.0"
"Apr 2025 to Mar 2026 (Period 09)","Heathrow Express","232.0","754.1","356.4","117.7","979.0","0.0","0.0","0.0","52.0","9.0","599.7","33.0","35.0","101.3","60.8"
"Apr 2025 to Mar 2026 (Period 10)","Heathrow Express","162.2","375.2","651.4","271.0","239.0","159.4","9.0","0.0","45.0","303.0","871.5","109.9","37.5","133.0","124.0"
"Apr 2025 to Mar 2026 (Period 11)","Heathrow Express","431.8","560.8","886.4","83.0","108.0","632.3","3.0","0.0","9.0","63.0","229.1","40.5","18.0","84.0","120.0"
"Apr 2025 to Mar 2026 (Period 12)","Heathrow Express","167.1","367.7","845.5","8.2","136.1","61.0","6.3","0.0","11.0","88.0","372.4","44.1","20.4","131.1","99.2"
"Apr 2019 to Mar 2020 (Period 01)","Hull Trains","266.0","220.5","380.0","27.0","86.0","94.0","34.5","9.0","0.0","46.5","224.0","2.5","10.0","67.0","70.0"
"Apr 2019 to Mar 2020 (Period 02)","Hull Trains","287.0","180.0","597.0","8.0","153.0","202.0","70.0","19.0","12.0","9.0","547.0","15.5","16.5","72.0","27.0"
"Apr 2019 to Mar 2020 (Period 03)","Hull Trains","730.0","144.5","388.0","4.0","68.0","410.0","80.0","12.0","23.0","31.0","301.0","18.0","8.0","59.0","86.5"
"Apr 2019 to Mar 2020 (Period 04)","Hull Trains","501.0","342.0","644.0","9.0","166.0","50.0","69.0","11.0","21.0","41.5","213.0","40.0","63.0","55.0","70.5"
"Apr 2019 to Mar 2020 (Period 05)","Hull Trains","210.5","248.0","508.0","270.0","232.0","414.0","85.0","10.0","28.5","5.0","315.0","4.0","19.0","47.0","80.0"
"Apr 2019 to Mar 2020 (Period 06)","Hull Trains","284.0","268.0","272.0","23.0","166.0","154.5","116.5","11.0","3.0","48.0","295.0","22.0","3.5","39.5","88.0"
"Apr 2019 to Mar 2020 (Period 07)","Hull Trains","525.0","212.5","467.0","26.0","193.0","161.0","19.5","26.0","9.0","8.0","243.0","48.0","31.5","37.0","34.5"
"Apr 2019 to Mar 2020 (Period 08)","Hull Trains","1025.0","329.5","363.0","224.0","192.0","378.0","71.0","78.0","23.5","16.0","470.5","17.5","19.0","21.5","53.5"
"Apr 2019 to Mar 2020 (Period 09)","Hull Trains","201.0","283.5","712.0","207.0","457.0","271.0","45.5","93.0","73.5","40.0","268.5","56.5","62.0","49.5","134.0"
"Apr 2019 to Mar 2020 (Period 10)","Hull Trains","724.0","199.0","432.0","88.5","73.0","172.0","34.5","23.0","26.0","25.0","317.5","14.0","76.0","67.5","64.0"
"Apr 2019 to Mar 2020 (Period 11)","Hull Trains","162.0","403.0","315.0","109.0","240.0","147.0","54.0","38.0","69.0","203.0","290.0","25.0","30.0","87.0","85.0"
"Apr 2019 to Mar 2020 (Period 12)","Hull Trains","219.0","219.5","666.0","368.0","211.0","333.0","36.0","48.0","93.0","29.0","307.0","47.0","22.0","66.0","58.5"
"Apr 2019 to Mar 2020 (Period 13)","Hull Trains","178.0","110.0","262.0","21.0","74.0","64.0","16.5","11.0","22.0","52.0","146.0","12.5","23.0","54.0","50.0"
"Apr 2020 to Mar 2021 (Period 05)","Hull Trains","64.0","0.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2020 to Mar 2021 (Period 06)","Hull Trains","188.0","51.5","215.0","1.5","18.0","11.0","6.5","3.0","0.0","55.5","32.0","0.0","0.0","7.0","0.0"
"Apr 2020 to Mar 2021 (Period 07)","Hull Trains","162.0","59.5","48.0","8.0","92.0","25.0","4.5","3.0","9.0","19.0","27.0","7.0","0.0","4.0","58.0"
"Apr 2020 to Mar 2021 (Period 08)","Hull Trains","50.0","37.5","70.0","9.0","17.0","0.0","11.0","4.5","3.0","6.0","24.0","3.0","0.0","7.0","3.0"
"Apr 2020 to Mar 2021 (Period 09)","Hull Trains","58.0","19.5","75.0","16.0","29.0","0.0","5.5","0.0","0.0","0.0","0.0","0.0","7.0","14.0","2.0"
"Apr 2020 to Mar 2021 (Period 10)","Hull Trains","7.0","108.0","93.0","116.0","9.0","0.0","18.5","0.0","0.0","7.0","22.0","4.5","3.0","7.0","5.0"
"Apr 2021 to Mar 2022 (Period 01)","Hull Trains","142.0","8.0","181.0","0.0","24.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","3.0","7.0"
"Apr 2021 to Mar 2022 (Period 02)","Hull Trains","178.0","70.0","215.0","3.0","45.0","13.0","0.0","7.0","32.0","16.0","23.0","4.0","0.0","6.0","9.0"
"Apr 2021 to Mar 2022 (Period 03)","Hull Trains","274.0","106.0","273.0","5.0","162.0","61.0","9.0","10.0","15.0","17.0","149.0","3.0","16.0","7.0","7.0"
"Apr 2021 to Mar 2022 (Period 04)","Hull Trains","149.0","142.0","662.0","3.0","136.0","55.0","3.0","21.0","10.0","11.0","70.0","11.0","0.0","28.0","40.0"
"Apr 2021 to Mar 2022 (Period 05)","Hull Trains","378.0","138.5","85.0","107.0","76.0","21.0","3.0","17.0","0.0","84.0","162.5","11.0","7.0","44.0","64.0"
"Apr 2021 to Mar 2022 (Period 06)","Hull Trains","340.0","98.0","1005.0","252.0","62.0","25.0","9.0","0.0","28.0","12.0","224.0","3.0","0.0","31.0","70.0"
"Apr 2021 to Mar 2022 (Period 07)","Hull Trains","209.0","244.0","193.0","20.0","50.0","17.0","12.0","3.0","9.0","21.0","102.0","10.0","16.0","56.0","46.0"
"Apr 2021 to Mar 2022 (Period 08)","Hull Trains","306.0","167.3","619.0","654.0","26.0","0.0","33.5","13.0","35.5","27.0","136.2","9.0","5.0","80.5","112.0"
"Apr 2021 to Mar 2022 (Period 09)","Hull Trains","138.0","182.0","390.0","838.0","242.0","9.0","30.5","26.0","54.0","154.5","373.0","16.0","20.0","72.0","17.0"
"Apr 2021 to Mar 2022 (Period 10)","Hull Trains","189.0","233.0","939.0","22.0","152.0","113.0","32.5","142.0","12.0","18.5","147.5","17.0","3.0","26.0","35.5"
"Apr 2021 to Mar 2022 (Period 11)","Hull Trains","213.0","267.5","188.0","66.0","123.0","212.0","5.0","8.0","27.0","1.5","172.0","17.0","5.0","6.0","24.0"
"Apr 2021 to Mar 2022 (Period 12)","Hull Trains","530.0","139.5","255.0","1041.0","125.0","3.0","9.5","12.0","13.0","0.0","440.0","36.0","0.0","40.0","91.0"
"Apr 2021 to Mar 2022 (Period 13)","Hull Trains","369.1","125.7","92.1","35.0","71.0","63.0","8.0","8.0","22.0","143.0","298.1","50.4","2.0","43.0","48.5"
"Apr 2022 to Mar 2023 (Period 01)","Hull Trains","259.0","342.5","184.0","54.0","65.0","6.0","5.0","9.0","14.0","2.0","72.5","1.0","10.0","4.0","19.0"
"Apr 2022 to Mar 2023 (Period 02)","Hull Trains","723.0","126.0","256.0","9.0","135.0","0.0","7.0","18.0","17.0","17.0","135.0","7.0","12.0","16.0","22.0"
"Apr 2022 to Mar 2023 (Period 03)","Hull Trains","485.0","164.5","307.0","3.0","122.0","10.0","9.5","32.0","4.0","20.0","135.0","9.5","0.0","79.0","76.5"
"Apr 2022 to Mar 2023 (Period 04)","Hull Trains","245.0","333.0","616.0","156.0","49.0","48.0","7.5","18.0","31.0","36.0","321.0","15.0","15.0","85.0","46.5"
"Apr 2022 to Mar 2023 (Period 05)","Hull Trains","416.0","251.5","835.0","467.0","167.0","59.0","8.5","12.0","12.0","7.0","869.0","7.0","1.0","14.0","124.0"
"Apr 2022 to Mar 2023 (Period 06)","Hull Trains","109.5","146.0","797.0","120.0","514.0","13.0","28.0","18.0","25.0","39.0","351.0","21.5","21.0","22.5","80.5"
"Apr 2022 to Mar 2023 (Period 07)","Hull Trains","544.0","211.0","251.0","39.0","344.0","0.0","6.5","19.0","51.5","78.0","122.0","32.0","19.0","43.5","119.5"
"Apr 2022 to Mar 2023 (Period 08)","Hull Trains","653.0","248.5","489.0","252.0","281.0","7.0","8.5","43.0","122.5","65.0","353.0","96.0","14.0","127.5","124.0"
"Apr 2022 to Mar 2023 (Period 09)","Hull Trains","370.0","441.5","431.0","288.5","656.0","25.0","5.5","39.0","55.5","51.0","379.0","50.0","25.0","182.0","35.0"
"Apr 2022 to Mar 2023 (Period 10)","Hull Trains","183.0","442.5","271.0","188.0","340.0","34.0","12.5","56.0","3.0","68.0","266.0","31.0","0.0","67.0","68.0"
"Apr 2022 to Mar 2023 (Period 11)","Hull Trains","265.0","177.5","443.3","242.0","266.0","54.5","27.0","3.0","56.0","33.0","295.2","25.0","6.0","34.5","40.0"
"Apr 2022 to Mar 2023 (Period 12)","Hull Trains","134.0","387.3","188.0","152.0","91.0","50.0","54.5","0.0","34.0","28.0","96.2","49.0","23.0","34.0","93.0"
